,Cancer_Q
0,Can third degree prolapse cause ascus reading on pap smear?
1,I bleed during the procedure of paps smear?
2,"I do not have HPV but I've had 2 abnormal paps, the first atypical, the second showing pre cancer cells?"
3,I had abnormal pap smear then had second one was normal which one do I believe. All within 3 weeks of each other. Doctor wants to do colposcope. ?
4,Is cramping normal2 days  after a pap smear?
5,Pap results were rare atypical squamous cell/High grade squamous intraepithelial lesion w/ negative HPV OB didnt explain please help!! ?
6,What diseases do pap smears check for?
7,What do abnormal pap results mean?
8,What is the turn around time for pap smear resultd
9,What leads to abnormality in pap smear test and what are cures that helps stop abnormality?
10,Would you need a cervical smear if you are still a virgin?
11,Can chronic appendicitis go away on its on and not come back - the hospital says they suspect a grumbling appendix. Can I just forget about it?
12,Cancer?Transverse&longitude sonographic evaluation on left breast was performed.dense fibroglandular tissue is noted at12to1:00position at site ofpain
13,Had a breast cyst monitored every six months. Now mammo say it has undefined borders. Going for follow up mammo and ultrasound. Cancer likelihood?
14,I have a 25-50% fibroglandular density bilaterally on my left breast what does that mean?
15,I have a nodular breast pre and post menstruation.My doctor advised me for a breast ultrasound. What could be the result? Do I have cancer?
16,"Mammogram: ill marginated focal asymetry of low density in left axilary tail. Sonogram:2 lipomas not correlated to mammogram findings. Doc send me to surgeon, what should I expect?Im scared!"
17,"Recent abnormal mammo, amorphous microcalcs, 6 mnth FU. Benign conditions that cause areola shape change + edges to be less defined, like color bleed?"
18,Result of breast ultrasound of dense breast findings  cyst cluster measuring 9x7x11 MM benign how large is 9x7x11 MM cluster?
19,What can I do for anechoic cystic lesion on breast?
20,What color are the tissue samples from a malignant breast mass?
21,What will my doctor due to tell whether I have fibroadenoma or not?
22,"Would breast cancer have increased in size in 6 months? I'm pregnant, 28 years old. Had ultrasound that showed no change in area from six months ago."
23,"A  PA looked at my chest and said a pink lesion was basal cell or even maybe squamous. He sprayed it withnitrogen, It was under 1 cm raised and hard.  A picture from 10 years ago and it is there, might be slightly smaller,  cancer. Have lots if SKs?"
24,Are microcalcifications found close to the nipple more likely to be malignant than ones found elsewhere on breast? So worried for daughter.
25,Are spots that keep scabbing over but otherwise remain unchanged for years always basal cell? Or can there is other causes? Thanks
26,Are there any blood tests to see what causes genital lichen sclerosus? My doc did a biopsy. What do they look for?
27,Can i take my stitches out two days early? The skin seems  healed. It's from having a basal cell  carc. Removed from my cheek under my eye.
28,I have a few skin moles that I'm concerned might be dangerous but I'm not sure if I should pay $200 to get them biopsied... advice?
29,"I have a friend who went to several doctors to check a bump under his lower lip and did a biopsy on it, the result was it is a cancerous cell. How would you recommend it be removed? Thank you"
30,My gf has skin nodules and the doctors don't know what they are. Who should she see?
31,"My mother 65 years old, went to the dr. For breast lump. After mamo, u/sound she did neddle biopsy. Report shows the 'papillary neoplasm'. What is it?"
32,My mother had breast cancer at 48. I 37 andy doctor recommended me to get a mammogram. Is it a baseline check and or necessary?
33,My mother has a mophoeic basel on her scalp the doctor wants to have it removed with treatment what does that mean?
34,My pcp found a skin cancer on my nose. Can anyone recommend a good mohs surgeon?
35,"My radiologist took extra pictures on one side during routine mammagram, should I be worried?"
36,My sister has had breast tenderness and had a biopsy today due to an abnormal mamo!! Also she has had a abnormal cat scan showing a mass in the ovary?
37,My sister has lumps in her throat. The doctors have done biopsys and taken test. They say that it's not cysts och cancer. But she gets more and more..
38,My wife got a lump on her left breast. So we have talked with a Dr. Who is an MS. She said my wife needs to do an USG. So we have done. USG report?
39,My wife had a breast ultrasound done a couple of days ago.  They found 2 small dark spots on left breast.  Could it be a cyst or mass??
40,"My wife is a doing CT scan annually after rectal surgery and the last one is two months ago and confirms cysts in breast ,shall we do mammogram ?"
41,My wife just found out she is 7 to 8 weeks pregnant.  She had a mammogram done 5 weeks ago.  Should i be concerned about the radiation exposure ?
42,"My wife right breast usg report is: abscess with intramamary, few nodes(5-8 mm) in right breast. What is it and what action required?"
43,My younger sister's left breast & hand pain since one month. Mammography & ultrasound report is normal. But Dense fibrofatty seen. So what can we do?
44,"Need a dermatologist in dallas, tx for cyst removal on upper lipline under $300? No insurence."
45,Need abnormal mole/tissue removed from right breast near nipple. Because of areas vascularity should I have a surgeon do it instead of dermatologist?
46,Need expert opinion on when getting a breast sonogram what does a tumor look like on the screen?
47,Neg mammo and ultrasound. Bloody nipple discharge when expressed. Does this require surgery? Papilloma in past. Different duct.
48,Negative pregnant tests but breast is leaking clear fluid I'm 25 with a family history of breast cancer any ideas not insurance right now working on that?
49,Nevi laser ablation & subsequent biopsy of nevi if not removed completely cause pathology incorrectly appear atypical due to ablation. Is this logical?
50,"New mole show up one year ago, doesn't fit ABCDE and derm said it is fine. Cant shake the thought that it may not be. Scared stage 4 melanoma, crazy?"
51,"Non-itchy/raised brown spots on back, spread to chest & stomach. Biopsy shows overproduction of plasma cells; bone marrow biopsy normal. Next steps?"
52,Normal mammo. Ultrasound shows density and some cysts. Why would I have to go back in 6 months instead of a year?
53,Not sure if I should be concern back in november of 2011 I was diagnoise with a 2.2 CM hemmoragic cyst and a mass that show up in one of my breast. I had 2 go back and have another mammogram done and they told me 2 come back in 6 months which will be in m
54,Nurse gave me a ultrasound to check for testicular cancer because left side veins were enlarged and said it isn't Cancer. Is it something serious?
55,Nursing and had breast ultrasound. Tech saw either a small cyst or a duct but either way it was fine. Does this increase my risk breast cancer?
56,"Occasional clear discharge from one breast.Had ultrasound and mammogram 7 weeks ago,negative,but require controls.No lumps.Should I still worry?Thanks"
57,"Oct mammogram clear, now new lumps - can breast cancer recur 3 months after stopping arimadex?"
58,"Ok, my last question was bad word choice. If a mole appeared in pregnancy, and hasn't changed in 6 months, is it likely to be malignant?"
59,"Old derm used dermatoscope to look @ lesion on earlobe & said it was a wart @ zapped it. 2 weeks after, the burned section fell off but there's still a small tag of skin. Forgot to mention to new derm?"
60,"One or two breast MRI procedures? I have to get a MRI to look at my breasts - is it standard to do a MRI for each breast, or can the machine look at both at the same time?"
61,Oral Surgeon: Biopsy on vermilion border mid Dec. Totally benign. Punch biopsy almost 100% healed but white skin around the area. Normal?
62,"Other than having surgery or getting a punch biopsy, are there any other ways of lighten moles? Like any home remedies?"
